index,KO,PEP,COST,ULTA,BKNG,V,MA,FSLR,TSLA,ON,MCHP,CRM,ADBE,MSFT,GOOG,AAPL,ENPH,PFE,JNJ,AMZN,BAC,AXP,DIS,META,MCO,SPGI,UBER
KO,1.0,0.628048463056433,0.8709100395642618,-0.6894307431411638,0.6290550599200178,0.3771862167763692,0.650151204090838,0.6639973216933883,0.27304076209975486,-0.26133165001430164,-0.4555532591852284,-0.035968485620908534,-0.32646359476123843,0.5029755991015133,0.5476834729178465,0.801751397560836,-0.16709995520819293,0.6602927874850788,0.6414041899248222,0.5439714470510019,0.752864140600867,0.8304005438068818,-0.397897773398296,0.718865960809121,0.9516032111326802,0.9270954428221689,0.4072011686126049
PEP,0.628048463056433,1.0,0.4623461821007056,-0.5030831745276692,0.2406309606264016,0.31651451532663205,0.4502534756694098,0.34301547064151156,-0.17102243347609133,-0.3173617180654274,-0.16989146460666982,0.051178585122921554,-0.46367417625042084,0.2001081322236053,0.3262799131752742,0.24542950084726825,-0.030204232385607977,0.39691525791276183,0.3630529972667785,0.3167040950010212,0.4591197910559161,0.5653363993355218,-0.06058187317341912,0.38241526630047024,0.518768451233585,0.47302681002867575,0.16035630966021092
COST,0.8709100395642618,0.4623461821007056,1.0,-0.6163275969409377,0.8056939428728921,0.5742223180370488,0.731944024856144,0.7647561648076971,0.14614541375825144,-0.22568739563939413,-0.21574961181430818,0.11800098816168049,-0.49375061480206706,0.7837102541266642,0.7702842653520376,0.7486246329065911,-0.12272165688343116,0.4660716557561436,0.41929987652244977,0.8187452905029625,0.9175870471554982,0.9285691145410587,-0.14803509829541364,0.8831103770882377,0.8912166053545688,0.8049899899842253,0.5917416144012865
ULTA,-0.6894307431411638,-0.5030831745276692,-0.6163275969409377,1.0,-0.43003560777043714,0.02859827640898082,-0.21071021776395266,-0.7221987414820911,-0.22985546487914804,0.5481247376380879,0.21000022703172846,0.44635319986339633,0.4155895795583465,-0.3629662905786876,-0.7001397807966285,-0.6838913549726332,0.36225490180241593,-0.613250509305643,-0.0613825126683353,-0.4038477809640619,-0.6287642289781977,-0.5622959034594637,0.46539684507902324,-0.4107492839496224,-0.660010107571582,-0.5776677063128476,0.0896224361272156
BKNG,0.6290550599200178,0.2406309606264016,0.8056939428728921,-0.43003560777043714,1.0,0.6740193593511861,0.7485283917730943,0.5214054845585447,0.3728129169492681,-0.1364151636445649,-0.25495177796555973,0.31866607773866257,-0.4333855078442308,0.6172149513867448,0.6569804188440856,0.6805859345347852,-0.3455369856946787,0.32758122123218497,0.34899149850621203,0.7695795996299788,0.8210431178260268,0.8268755692477114,-0.07488136850170493,0.7668830275068232,0.728057700050623,0.6884588883815639,0.5597336670150603
V,0.3771862167763692,0.31651451532663205,0.5742223180370488,0.02859827640898082,0.6740193593511861,1.0,0.8827902280572857,0.1513005948668335,-0.12470957651757276,-0.11168706589925585,-0.19577535073394392,0.6748269635385475,-0.4851934186658409,0.504353760581347,0.2968474419545617,0.1321840263780285,-0.1425840579438588,-0.056649259244925386,0.3927890816584428,0.6794633442626629,0.5600203955159507,0.6889557955641378,0.40476141160638407,0.7256975014320878,0.4156024324708519,0.3764710536155173,0.745791224118522
MA,0.650151204090838,0.4502534756694098,0.731944024856144,-0.21071021776395266,0.7485283917730943,0.8827902280572857,1.0,0.27154407783915696,0.01575845978502156,-0.21186474201968514,-0.4342350190922067,0.6256957058696323,-0.5210042057399517,0.5328308499773656,0.3601034412147352,0.38064705561081513,-0.23973426119103983,0.15300785018397822,0.5784965504132923,0.7123599179497213,0.6896910474780046,0.8549244959618117,0.22351298874253522,0.8880705836770081,0.6737246399514176,0.6476865389159875,0.8231789698105855
FSLR,0.6639973216933883,0.34301547064151156,0.7647561648076971,-0.7221987414820911,0.5214054845585447,0.1513005948668335,0.27154407783915696,1.0,0.06981856160799972,-0.2531473791865825,0.11962323735615134,-0.36156830024763387,-0.5029703989281702,0.6461604387095412,0.7857943464949173,0.6249364711351515,0.13509805279252826,0.495977688655522,0.004027795429891651,0.5916290450916214,0.7211759218002212,0.6277691414683569,-0.2352649502467644,0.5494610093276813,0.6324227165443058,0.5123565779196934,0.1628397526982211
TSLA,0.27304076209975486,-0.17102243347609133,0.14614541375825144,-0.22985546487914804,0.3728129169492681,-0.12470957651757276,0.01575845978502156,0.06981856160799972,1.0,0.22315474045330846,-0.40779533346416735,-0.1788500525839721,0.35065412907825744,-0.12458481728556267,0.030427574110502127,0.6297282964051751,-0.3753128507951209,0.4657547559665342,0.3536539074863091,-0.06295389767790038,0.1401278250650027,0.0884982078088511,-0.6537800385534517,-0.040034735815444665,0.39164612244703984,0.4739242677308893,-0.18398573116229136
ON,-0.26133165001430164,-0.3173617180654274,-0.22568739563939413,0.5481247376380879,-0.1364151636445649,-0.11168706589925585,-0.21186474201968514,-0.2531473791865825,0.22315474045330846,1.0,0.2679051578363515,0.17026294442268278,0.4697122471443231,-0.23867500910896336,-0.34472163170146464,-0.0855101959562251,0.5262576343960345,-0.09155079457003516,0.1376822961346443,-0.2910870542433607,-0.2636073392724442,-0.28852678633617185,-0.06934111664054657,-0.2927491209374673,-0.16935792470261954,-0.1281894389770899,-0.016989185169396
