,2023-11-30,2022-11-30,2021-11-30,2020-11-30,2019-11-30
Operating Revenue,19409000000.0,17606000000.0,15785000000.0,12868000000.0,
Gross Profit,17055000000.0,15441000000.0,13920000000.0,11146000000.0,
EBITDA,7784000000.0,6976000000.0,6606000000.0,5049000000.0,
EBIT,6912000000.0,6120000000.0,5818000000.0,4292000000.0,
Pretax Income,6799000000.0,6008000000.0,5705000000.0,4176000000.0,
Net Income,5428000000.0,4756000000.0,4822000000.0,5260000000.0,
