,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,10166000000.0,3494000000.0,3218000000.0,2968000000.0,
Total Asset,,,,,
Long Term Debt,2268000000.0,1880000000.0,2440000000.0,2484000000.0,
Ordinary Shares Number,241600000.0,180200000.0,180400000.0,180400000.0,
