,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,153168000000.0,125713000000.0,124879000000.0,128290000000.0,
Total Liabilities Net Minority Interest,76455000000.0,60014000000.0,41108000000.0,31026000000.0,
Long Term Debt,18385000000.0,9923000000.0,,,
Ordinary Shares Number,2561000000.0,2614000000.0,2741000000.0,2849000000.0,
