,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,2411909000.0,2176366000.0,1310039000.0,1085757000.0,
Total Asset,,,,,
Long Term Debt,627381000.0,624451000.0,621535000.0,573350000.0,
Ordinary Shares Number,57123437.0,56133404.0,52815395.0,51560936.0,
