,2024-01-31,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Operating Revenue,105803000000.0,107588000000.0,104611000000.0,92400000000.0,
Gross Profit,29676000000.0,26891000000.0,31042000000.0,27384000000.0,
EBITDA,8600000000.0,6596000000.0,11970000000.0,9008000000.0,
EBIT,5799000000.0,3896000000.0,9328000000.0,6523000000.0,
Pretax Income,5297000000.0,3418000000.0,8907000000.0,5546000000.0,
Net Income,4138000000.0,2780000000.0,6946000000.0,4368000000.0,
