,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,574785000000.0,513983000000.0,469822000000.0,386064000000.0,
Gross Profit,93805000000.0,67640000000.0,66315000000.0,51500000000.0,
EBITDA,89402000000.0,38352000000.0,74393000000.0,51005000000.0,
EBIT,40739000000.0,-3569000000.0,39960000000.0,25825000000.0,
Pretax Income,37557000000.0,-5936000000.0,38151000000.0,24178000000.0,
Net Income,30425000000.0,-2722000000.0,33364000000.0,21331000000.0,
