,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Operating Revenue,42471000000.0,37614000000.0,30797000000.0,27078000000.0
Gross Profit,26086000000.0,23577000000.0,19135000000.0,17334000000.0
EBITDA,22624000000.0,19535000000.0,17380000000.0,15073000000.0
EBIT,21681000000.0,18674000000.0,16576000000.0,14306000000.0
Pretax Income,21037000000.0,18136000000.0,16063000000.0,13790000000.0
Net Income,17273000000.0,14957000000.0,12311000000.0,10866000000.0
