,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,201875000000.0,146043000000.0,138245000000.0,93404000000.0,
Total Liabilities Net Minority Interest,325979000000.0,316632000000.0,282304000000.0,227791000000.0,
Long Term Debt,58314000000.0,67150000000.0,48744000000.0,31816000000.0,
Ordinary Shares Number,10383000000.0,10242000000.0,10180000000.0,10060000000.0,
