,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,307394000000.0,282836000000.0,257637000000.0,182527000000.0,
Gross Profit,174062000000.0,156633000000.0,146698000000.0,97795000000.0,
EBITDA,97971000000.0,85160000000.0,103521000000.0,61914000000.0,
EBIT,86025000000.0,71685000000.0,91080000000.0,48217000000.0,
Pretax Income,85717000000.0,71328000000.0,90734000000.0,48082000000.0,
Net Income,73795000000.0,59972000000.0,76033000000.0,40269000000.0,
