,2024-01-31,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Common Stock Equity,2279328000.0,1959811000.0,1535373000.0,1999549000.0,
Total Liabilities Net Minority Interest,3427683000.0,3410600000.0,3229006000.0,3090420000.0,
Long Term Debt,,,,,
Ordinary Shares Number,48324000.0,50364000.0,52311000.0,56260000.0,
