,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,263249000000.0,244800000000.0,245358000000.0,248414000000.0,
Total Liabilities Net Minority Interest,2888505000000.0,2778178000000.0,2899429000000.0,2546703000000.0,
Long Term Debt,302204000000.0,275982000000.0,280117000000.0,262934000000.0,
Ordinary Shares Number,7895457665.0,7996777943.0,8077831463.0,8650814105.0,
