,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,45754000000.0,43004000000.0,38655000000.0,33014000000.0,
Gross Profit,27234000000.0,25004000000.0,23298000000.0,19581000000.0,
EBITDA,15607000000.0,13828000000.0,15474000000.0,12722000000.0,
EBIT,14479000000.0,12568000000.0,14022000000.0,11186000000.0,
Pretax Income,12952000000.0,11686000000.0,12425000000.0,9749000000.0,
Net Income,10714000000.0,9542000000.0,9771000000.0,7747000000.0,
