,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,118678591000.0,83127296000.0,40826521000.0,35129459000.0,
Gross Profit,19047635000.0,12278313000.0,6657835000.0,6171661000.0,
EBITDA,16850581000.0,5815682000.0,3730294000.0,2625426000.0,
EBIT,8661301000.0,3056118000.0,1928223000.0,1242224000.0,
Pretax Income,7490165000.0,1976709000.0,1089903000.0,566372000.0,
Net Income,3447443000.0,620506000.0,721018000.0,230385000.0,
