,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,283379000000.0,256144000000.0,251635000000.0,222544000000.0,
Total Liabilities Net Minority Interest,119013000000.0,109120000000.0,107633000000.0,97072000000.0,
Long Term Debt,11870000000.0,12857000000.0,12844000000.0,12832000000.0,
Ordinary Shares Number,12460000000.0,12849000000.0,13242420000.0,13504440000.0,
