,2024-01-31,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Common Stock Equity,59646000000.0,58359000000.0,58131000000.0,41493000000.0,
Total Liabilities Net Minority Interest,40177000000.0,40490000000.0,37078000000.0,24808000000.0,
Long Term Debt,8427000000.0,9419000000.0,10592000000.0,2673000000.0,
Ordinary Shares Number,971000000.0,981000000.0,989000000.0,919000000.0,
