,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Common Stock Equity,99277000000.0,95008000000.0,88553000000.0,83583000000.0
Total Liabilities Net Minority Interest,92567000000.0,95253000000.0,101385000000.0,104037000000.0
Long Term Debt,42101000000.0,45299000000.0,48540000000.0,52917000000.0
Ordinary Shares Number,1830000000.0,1781000000.0,1818000000.0,1807063365.0
