,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,60363000000.0,52560000000.0,43147000000.0,36239000000.0,
Gross Profit,,,,,
EBITDA,,,,,
EBIT,,,,,
Pretax Income,10513000000.0,9585000000.0,10689000000.0,4296000000.0,
Net Income,8374000000.0,7514000000.0,8060000000.0,3135000000.0,
