,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Operating Revenue,88898000000.0,82722000000.0,67418000000.0,65388000000.0
Gross Profit,29697000000.0,28321000000.0,22287000000.0,21508000000.0
EBITDA,12111000000.0,11997000000.0,9078000000.0,5093000000.0
EBIT,6742000000.0,6834000000.0,3967000000.0,-252000000.0
Pretax Income,4769000000.0,5285000000.0,2561000000.0,-1743000000.0
Net Income,2354000000.0,3145000000.0,1995000000.0,-2864000000.0
