,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,89014000000.0,95661000000.0,77201000000.0,63238000000.0,
Total Liabilities Net Minority Interest,137213000000.0,101289000000.0,104014000000.0,90756000000.0,
Long Term Debt,60499000000.0,31925000000.0,34757000000.0,35571000000.0,
Ordinary Shares Number,5646000000.0,5616000000.0,5620000000.0,5567000000.0,
