,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,18503000000.0,17149000000.0,16043000000.0,13454000000.0,
Total Liabilities Net Minority Interest,81858000000.0,74914000000.0,76226000000.0,79366000000.0,
Long Term Debt,37595000000.0,35657000000.0,36026000000.0,40370000000.0,
Ordinary Shares Number,1374000000.0,1377000000.0,1383000000.0,1380000000.0,
