index,EPS,Book,ROA,ROA_BIT,Lg,mp
FSLR,7.77535454160241,97.00867521670493,0.08015112590944332,0.08724008531681024,1.5499334651121373,0.18213911427390259
ENPH,3.234081431160755,24.92603999351616,0.12974710110398663,0.15429386593958283,3.439334542467447,0.9732129585166625
SEDG,0.6009617383491823,80.3125869334508,0.007482783973166692,0.018592633264679206,1.902116124613325,-0.016438521020818306
JKS,16.529706613066473,587.1396938461683,0.028152936662799177,0.07073099061259001,6.075187555497168,1.3176127950532568
CSIQ,4.144380558874299,162.48433445854116,0.025506339258396397,0.048617275978000994,4.200366670925739,-0.01979469272341052
MCHP,3.553249515440015,29.577555303624965,0.12013330645364514,0.1610828314391553,2.3841509207245637,2.077342891079723
LII,16.58418416858772,78.6434884917116,0.21087803309151984,0.2835650216202695,9.808271994391868,43.22206794207964
EMR,23.11013986013986,64.40034965034965,0.3588511550886337,0.08108695062030025,1.7805113828604573,16.399509128992854
XYL,2.5206953642384105,66.64735099337749,0.037821388647373,0.04247919513103962,1.5839071414518986,-0.476621743516783
PFE,0.3753099539496989,40.06854410201913,0.009366698051072595,0.01444124706600008,2.5414766216550206,-0.32302298387040884
JNJ,14.604013663038755,69.61054024838414,0.20979601093352748,0.09449862137289775,2.4363567627301017,7.539462329547529
LLY,5.51981874467415,67.32242866126172,0.08199078456375314,0.11015497265878635,5.933447209870125,1.6528261602704792
TSLA,4.709262166405024,33.16891679748823,0.14197817176717814,0.09587951875656693,1.6866717757128715,0.5296803497775233
ON,5.121410689560741,30.95126672723864,0.16546691722486587,0.1978146879641136,1.6957315036106186,2.526972821197975
ADBE,11.92967032967033,65.44835164835165,0.18227610060781088,0.23210987608717554,1.8028211647899262,21.402450408899306
CRM,4.259526261585994,102.8043254376931,0.04143333700650151,0.06009637057591938,1.6735908526975825,0.2890523663065529
ULTA,26.71560715172585,118.09889495902657,0.22621386221263634,0.29552054481759366,2.5038129659267994,21.839210345306324
TGT,8.963006546410599,119.90241430234536,0.07475251101958234,0.10475829178408845,4.1212030970815965,2.0472490496047726
COST,14.20980006459,155.81547133762277,0.09119633591326783,0.1253297388178682,2.753372176550403,9.726950817429469
