,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,11249000000.0,7340000000.0,14458000000.0,12266000000.0,
Total Liabilities Net Minority Interest,26017000000.0,23605000000.0,23425000000.0,19498000000.0,
Long Term Debt,9459000000.0,9265000000.0,9276000000.0,7560000000.0,
Ordinary Shares Number,2071144000.0,2005486000.0,1949316000.0,1716681000.0,
