,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,983624000.0,825573000.0,430168000.0,483993000.0,
Total Liabilities Net Minority Interest,2399388000.0,2258707000.0,1649088000.0,716109000.0,
Long Term Debt,1293738000.0,1199465000.0,951594000.0,4898000.0,
Ordinary Shares Number,135722000.0,136441000.0,133894000.0,128962000.0,
