,2023-11-30,2022-11-30,2021-11-30,2020-11-30,2019-11-30
Common Stock Equity,16518000000.0,14051000000.0,14797000000.0,13264000000.0,
Total Liabilities Net Minority Interest,13261000000.0,13114000000.0,12444000000.0,11020000000.0,
Long Term Debt,3634000000.0,3629000000.0,4123000000.0,4117000000.0,
Ordinary Shares Number,455000000.0,462000000.0,475000000.0,479000000.0,
