,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,285300000.0,-203100000.0,-269000000.0,-17100000.0,
Total Asset,,,,,
Long Term Debt,1110400000.0,785900000.0,1197500000.0,941400000.0,
Ordinary Shares Number,35582094.0,35469937.0,36634072.0,38349228.0,
