,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,91471000000.0,86392000000.0,79474000000.0,70372000000.0,
Gross Profit,49590000000.0,45816000000.0,42399000000.0,38575000000.0,
EBITDA,15754000000.0,14924000000.0,14899000000.0,13223000000.0,
EBIT,12236000000.0,11644000000.0,11684000000.0,10197000000.0,
Pretax Income,11417000000.0,10705000000.0,9821000000.0,9069000000.0,
Net Income,9074000000.0,8910000000.0,7618000000.0,7120000000.0,
