,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Common Stock Equity,6657800000.0,6513600000.0,5894800000.0,5337100000.0,
Total Liabilities Net Minority Interest,9215400000.0,9856700000.0,10304700000.0,11141700000.0,
Long Term Debt,5000400000.0,5041700000.0,7687400000.0,7581200000.0,
Ordinary Shares Number,536663691.0,545459814.0,554500524.0,547057188.0,
