,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Operating Revenue,98581000000.0,94950000000.0,89113000000.0,85528000000.0
Gross Profit,,,,
EBITDA,,,,
EBIT,,,,
Pretax Income,28342000000.0,30969000000.0,33976000000.0,18995000000.0
Net Income,26515000000.0,27528000000.0,31978000000.0,17894000000.0
