,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,62634000000.0,44704000000.0,30189000000.0,22225000000.0,
Total Liabilities Net Minority Interest,43009000000.0,36440000000.0,30548000000.0,28469000000.0,
Long Term Debt,2682000000.0,1029000000.0,4254000000.0,8513000000.0,
Ordinary Shares Number,3185000000.0,3164000000.0,3099000000.0,2880000000.0,
