,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,,2519000000.0,2727000000.0,1569000000.0,612000000.0
Total Liabilities Net Minority Interest,,11660000000.0,11764000000.0,10646000000.0,9428000000.0
Long Term Debt,,7389000000.0,7413000000.0,6422000000.0,5581000000.0
Ordinary Shares Number,,183199910.0,185639788.0,187093709.0,187687129.0
