,2024-08-31,2023-08-31,2022-08-31,2021-08-31
Common Stock Equity,23622000000.0,25058000000.0,20642000000.0,17564000000.0
Total Liabilities Net Minority Interest,46209000000.0,43936000000.0,43519000000.0,41190000000.0
Long Term Debt,5794000000.0,5377000000.0,6484000000.0,6692000000.0
Ordinary Shares Number,443126000.0,442793000.0,442664000.0,441825000.0
