,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,25098000000.0,22237000000.0,18884000000.0,18899000000.0,
Gross Profit,19076000000.0,16974000000.0,14395000000.0,11514000000.0,
EBITDA,15013000000.0,12953000000.0,11464000000.0,8720000000.0,
EBIT,14214000000.0,12203000000.0,10738000000.0,8140000000.0,
Pretax Income,13639000000.0,11732000000.0,10307000000.0,7760000000.0,
Net Income,11195000000.0,9930000000.0,8687000000.0,6411000000.0,
