,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,7364000000.0,5522000000.0,5195000000.0,4876000000.0,
Gross Profit,2717000000.0,2084000000.0,1975000000.0,1830000000.0,
EBITDA,1120000000.0,726000000.0,832000000.0,613000000.0,
EBIT,684000000.0,490000000.0,587000000.0,362000000.0,
Pretax Income,635000000.0,440000000.0,511000000.0,285000000.0,
Net Income,609000000.0,355000000.0,427000000.0,254000000.0,
