,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Common Stock Equity,7782600000.0,6188500000.0,4585400000.0,3538500000.0
Total Liabilities Net Minority Interest,5414600000.0,5771500000.0,5021600000.0,5109900000.0
Long Term Debt,2542600000.0,3045700000.0,2913900000.0,2959700000.0
Ordinary Shares Number,426386426.0,431936415.0,432472818.0,411842629.0
