,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,4981900000.0,4718400000.0,4194100000.0,3634100000.0,
Gross Profit,1547800000.0,1284700000.0,1188400000.0,1040100000.0,
EBITDA,879500000.0,733500000.0,658500000.0,547500000.0,
EBIT,793500000.0,655600000.0,586100000.0,474900000.0,
Pretax Income,737500000.0,615800000.0,560100000.0,445200000.0,
Net Income,590100000.0,497100000.0,464000000.0,356300000.0,
