,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Operating Revenue,7634400000.0,8438700000.0,6820900000.0,5438400000.0,
Gross Profit,4995700000.0,5697900000.0,4449600000.0,3378800000.0,
EBITDA,3436400000.0,4102500000.0,2871500000.0,1832600000.0,
EBIT,2556900000.0,3104100000.0,1728000000.0,679300000.0,
Pretax Income,2365900000.0,2909700000.0,1482500000.0,339500000.0,
Net Income,1906900000.0,2237700000.0,1285500000.0,349400000.0,
