,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,34200000000.0,36388000000.0,2032000000.0,509000000.0,
Total Liabilities Net Minority Interest,22489000000.0,22040000000.0,9490000000.0,9185000000.0,
Long Term Debt,11412000000.0,10730000000.0,4114000000.0,4110000000.0,
Ordinary Shares Number,314800000.0,329000000.0,241000000.0,241000000.0,
