,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Operating Revenue,391035000000.0,383285000000.0,394328000000.0,365817000000.0,
Gross Profit,180683000000.0,169148000000.0,170782000000.0,152836000000.0,
EBITDA,134661000000.0,125820000000.0,130541000000.0,123136000000.0,
EBIT,123216000000.0,114301000000.0,119437000000.0,111852000000.0,
Pretax Income,123485000000.0,113736000000.0,119103000000.0,109207000000.0,
Net Income,93736000000.0,96995000000.0,99803000000.0,94680000000.0,
