,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,37281000000.0,31877000000.0,17447000000.0,11004000000.0,
Gross Profit,14824000000.0,12218000000.0,8104000000.0,5985000000.0,
EBITDA,3777000000.0,-7914000000.0,360000000.0,-5913000000.0,
EBIT,2954000000.0,-8861000000.0,-542000000.0,-6488000000.0,
Pretax Income,2321000000.0,-9426000000.0,-1025000000.0,-6946000000.0,
Net Income,1887000000.0,-9141000000.0,-496000000.0,-6768000000.0,
