,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,133844000000.0,115801000000.0,117208000000.0,85308000000.0,
Gross Profit,108943000000.0,91360000000.0,95280000000.0,69273000000.0,
EBITDA,59052000000.0,37690000000.0,55274000000.0,39533000000.0,
EBIT,47874000000.0,29004000000.0,47307000000.0,32671000000.0,
Pretax Income,47428000000.0,28819000000.0,47284000000.0,33180000000.0,
Net Income,39098000000.0,23200000000.0,39370000000.0,29146000000.0,
