,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Operating Revenue,85159000000.0,79990000000.0,78740000000.0,82584000000.0
Gross Profit,58606000000.0,55394000000.0,55338000000.0,54157000000.0
EBITDA,23320000000.0,26605000000.0,26751000000.0,23929000000.0
EBIT,15834000000.0,19635000000.0,19361000000.0,16698000000.0
Pretax Income,15062000000.0,19359000000.0,19178000000.0,16497000000.0
Net Income,35153000000.0,17941000000.0,20878000000.0,14714000000.0
