,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,6929000000.0,6298000000.0,7312000000.0,6391000000.0,
Total Liabilities Net Minority Interest,35451000000.0,32347000000.0,30257000000.0,27067000000.0,
Long Term Debt,14344000000.0,13749000000.0,13109000000.0,12023000000.0,
Ordinary Shares Number,934000000.0,956000000.0,980000000.0,995454904.0,
