,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,28057000000.0,24711000000.0,22177000000.0,22984000000.0,
Total Liabilities Net Minority Interest,233051000000.0,203643000000.0,166371000000.0,168383000000.0,
Long Term Debt,47866000000.0,42570000000.0,38661000000.0,42935000000.0,
Ordinary Shares Number,723000000.0,743000000.0,761000000.0,805000000.0,
