,2024-08-31,2023-08-31,2022-08-31,2021-08-31,2020-08-31
Operating Revenue,254453000000.0,242290000000.0,226954000000.0,195929000000.0,
Gross Profit,32095000000.0,29704000000.0,27572000000.0,25245000000.0,
EBITDA,12146000000.0,10724000000.0,9898000000.0,8632000000.0,
EBIT,9909000000.0,8647000000.0,7998000000.0,6851000000.0,
Pretax Income,9740000000.0,8487000000.0,7840000000.0,6680000000.0,
Net Income,7367000000.0,6292000000.0,5844000000.0,5007000000.0,
