,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,20156434000.0,16337235000.0,11049781000.0,9987844274.0,
Total Liabilities Net Minority Interest,102297683000.0,81658289000.0,58696235000.0,40241612887.0,
Long Term Debt,16024286000.0,14093494000.0,10995191000.0,7301535829.0,
Ordinary Shares Number,208560447.0,201189189.0,190824913.0,187434469.0,
