,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,2559243000.0,1941639000.0,1801083000.0,1570422000.0,
Total Liabilities Net Minority Interest,8190516000.0,6730434000.0,5261904000.0,4644069000.0,
Long Term Debt,1654998000.0,1071021000.0,748309000.0,669304000.0,
Ordinary Shares Number,66158741.0,64506055.0,64022678.0,59820384.0,
