,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,-2744000000.0,2782000000.0,6178000000.0,4893000000.0,
Total Liabilities Net Minority Interest,27086000000.0,22579000000.0,17463000000.0,16981000000.0,
Long Term Debt,12223000000.0,11985000000.0,8937000000.0,11029000000.0,
Ordinary Shares Number,34397649.0,37862970.0,41066053.0,40959554.0,
