,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,,5468000000.0,6218000000.0,5371000000.0,4829000000.0
Gross Profit,,3855000000.0,4581000000.0,3896000000.0,3442000000.0
EBITDA,,2337000000.0,3183000000.0,2654000000.0,2235000000.0
EBIT,,2006000000.0,2926000000.0,2434000000.0,2035000000.0
Pretax Income,,1760000000.0,2755000000.0,2229000000.0,1810000000.0
Net Income,,1374000000.0,2214000000.0,1778000000.0,1422000000.0
