,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,12497000000.0,11181000000.0,8297000000.0,7442000000.0,
Gross Profit,8356000000.0,7428000000.0,6117000000.0,5348000000.0,
EBITDA,5148000000.0,6019000000.0,4461000000.0,3575000000.0,
EBIT,4005000000.0,5006000000.0,4283000000.0,3369000000.0,
Pretax Income,3671000000.0,4702000000.0,4164000000.0,3228000000.0,
Net Income,2626000000.0,3248000000.0,3024000000.0,2339000000.0,
