,2023-09-30,2022-09-30,2021-09-30,2020-09-30,2019-09-30
Common Stock Equity,20689000000.0,10364000000.0,9883000000.0,8405000000.0,
Total Asset,,,,,
Long Term Debt,7610000000.0,8259000000.0,5793000000.0,6326000000.0,
Ordinary Shares Number,572000000.0,591400000.0,595800000.0,598000000.0,
