,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,2290786000.0,2330853000.0,1382049000.0,774425000.0,
Gross Profit,1058388000.0,974595000.0,554422000.0,345981000.0,
EBITDA,596686000.0,520261000.0,196926000.0,158514000.0,
EBIT,521978000.0,461486000.0,166080000.0,140411000.0,
Pretax Income,513139000.0,452048000.0,120928000.0,119410000.0,
Net Income,438936000.0,397362000.0,145449000.0,133995000.0,
