,Code,Value
0,KO,58.5
1,PEP,165.98
2,COST,451.44
3,ULTA,315.58
4,BKNG,2363.58
5,V,273.08
6,MA,400.2
7,FSLR,0.0
8,TSLA,0.0
9,ON,0.0
10,MCHP,0.0
11,CRM,47.3
12,ADBE,514.4
13,MSFT,411.2
14,GOOG,307.78
15,AAPL,140.4
16,ENPH,0.0
17,PFE,0.0
18,JNJ,150.98
