,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,34124100000.0,28541400000.0,28318400000.0,24539800000.0,
Gross Profit,27041900000.0,21911600000.0,21005600000.0,19056500000.0,
EBITDA,8567800000.0,8660500000.0,8042900000.0,8913400000.0,
EBIT,7040500000.0,7138000000.0,6495300000.0,7589500000.0,
Pretax Income,6554600000.0,6806400000.0,6155500000.0,7229900000.0,
Net Income,5240400000.0,6244800000.0,5581700000.0,6193700000.0,
