,2024-01-31,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Common Stock Equity,13432000000.0,11232000000.0,12827000000.0,14440000000.0,
Total Asset,,,,,
Long Term Debt,14922000000.0,16009000000.0,13549000000.0,11536000000.0,
Ordinary Shares Number,461675441.0,460346947.0,471274073.0,500877129.0,
