,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,96773000000.0,81462000000.0,53823000000.0,31536000000.0,
Gross Profit,17660000000.0,20853000000.0,13606000000.0,6630000000.0,
EBITDA,14796000000.0,17657000000.0,9625000000.0,4224000000.0,
EBIT,10129000000.0,13910000000.0,6714000000.0,1902000000.0,
Pretax Income,9973000000.0,13719000000.0,6343000000.0,1154000000.0,
Net Income,14999000000.0,12583000000.0,5524000000.0,721000000.0,
