,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,25941000000.0,24105000000.0,22999000000.0,19299000000.0,
Total Liabilities Net Minority Interest,70223000000.0,66937000000.0,69494000000.0,66012000000.0,
Long Term Debt,35547000000.0,36377000000.0,38116000000.0,40125000000.0,
Ordinary Shares Number,4308000000.0,4328000000.0,4325128924.0,4302128924.0,
