,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,68774000000.0,76804000000.0,74023000000.0,63278000000.0,
Total Liabilities Net Minority Interest,98784000000.0,110574000000.0,107995000000.0,111616000000.0,
Long Term Debt,25881000000.0,26886000000.0,29985000000.0,32635000000.0,
Ordinary Shares Number,2407078000.0,2613597000.0,2628965000.0,2632512000.0,
