,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Common Stock Equity,6687469000.0,5836055000.0,5959551000.0,5520928000.0,
Total Liabilities Net Minority Interest,3677663000.0,2415173000.0,1454195000.0,1588003000.0,
Long Term Debt,464068000.0,184349000.0,236005000.0,237691000.0,
Ordinary Shares Number,106847475.0,106609094.0,106332315.0,105980466.0,
