,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Operating Revenue,8253000000.0,8326200000.0,6739800000.0,5255000000.0,
Gross Profit,3883500000.0,4077200000.0,2714300000.0,1715800000.0,
EBITDA,3220100000.0,3008900000.0,1884900000.0,970100000.0,
EBIT,2610600000.0,2457100000.0,1288200000.0,345000000.0,
Pretax Income,2535800000.0,2362200000.0,1157800000.0,176600000.0,
Net Income,2183700000.0,1902200000.0,1009600000.0,234200000.0,
